episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
86,1550.0,681,52320,0.1,0.07731325131955377,246.94658445800087,True,False
87,480.0,442,52762,0.1,0.08368079603903673,248.55930645800254,True,False
88,1550.0,737,53499,0.1,0.08010694695859337,251.24253583300015,True,False
89,1450.0,997,54496,0.1,0.07815637507662176,254.8932506250021,True,False
90,910.0,897,55393,0.1,0.09421444940796521,258.2473127910016,True,False
91,760.0,722,56115,0.1,0.07850755279780262,261.89642704100334,True,False
92,340.0,433,56548,0.1,0.07782684734791791,263.62454145800075,True,False
93,480.0,508,57056,0.1,0.06980983974544082,265.5180679160003,True,False
94,540.0,443,57499,0.1,0.10362224031917074,267.1848175000014,True,False
95,890.0,700,58199,0.1,0.07836686281221253,270.00750479100316,True,False
96,460.0,463,58662,0.1,0.09190522563033576,271.93091541600006,True,False
97,440.0,477,59139,0.1,0.0899478922433713,273.9029092080018,True,False
98,1140.0,690,59829,0.1,0.08418523919677114,280.49298129100134,True,False
99,450.0,463,60292,0.1,0.09374460330682582,282.1982867080005,True,False
100,500.0,451,60743,0.1,0.08992192021105438,283.8054077500019,True,False
